iter	Passed	Remaining
0	120	120274
1	121	60691
2	122	40759
3	123	30773
4	124	24795
5	125	20800
6	126	17943
7	127	15800
8	128	14127
9	129	12783
10	130	11688
11	130	10774
12	131	9993
13	132	9328
14	133	8751
15	133	8240
16	134	7794
17	135	7396
18	136	7045
19	137	6727
20	138	6436
21	138	6171
22	139	5930
23	140	5708
24	141	5507
25	141	5318
26	142	5144
27	143	4981
28	144	4829
29	144	4686
30	145	4555
31	146	4432
32	147	4315
33	148	4206
34	148	4103
35	149	4006
36	150	3913
37	151	3825
38	151	3743
39	152	3664
40	153	3588
41	154	3518
42	154	3449
43	155	3384
44	156	3324
45	157	3264
46	158	3208
47	159	3153
48	159	3102
49	160	3052
50	161	3005
51	162	2960
52	163	2917
53	164	2876
54	165	2838
55	166	2799
56	166	2761
57	167	2724
58	168	2689
59	169	2654
60	170	2619
61	170	2585
62	171	2553
63	172	2522
64	173	2491
65	173	2461
66	174	2432
67	175	2404
68	176	2377
69	177	2351
70	177	2326
71	178	2301
72	179	2279
73	180	2255
74	181	2233
75	181	2210
76	182	2188
77	183	2167
78	184	2145
79	184	2125
80	185	2105
81	186	2086
82	186	2064
83	187	2045
84	188	2027
85	189	2011
86	190	1994
87	190	1977
88	191	1961
89	192	1944
90	193	1929
91	194	1914
92	195	1901
93	195	1887
94	196	1872
95	197	1858
96	198	1844
97	198	1830
98	199	1817
99	200	1805
100	201	1793
101	202	1781
102	203	1769
103	203	1757
104	204	1745
105	205	1734
106	206	1723
107	207	1713
108	208	1702
109	209	1692
110	209	1681
111	210	1670
112	211	1660
113	212	1650
114	213	1641
115	214	1632
116	215	1622
117	216	1615
118	217	1607
119	218	1600
120	219	1592
121	220	1583
122	220	1575
123	221	1566
124	222	1558
125	223	1550
126	224	1540
127	225	1533
128	226	1526
129	226	1518
130	227	1511
131	228	1503
132	229	1496
133	230	1490
134	231	1484
135	232	1477
136	233	1472
137	234	1466
138	235	1459
139	236	1452
140	237	1447
141	238	1439
142	239	1433
143	240	1427
144	240	1420
145	241	1414
